date,type,amount,category,description,currency
2026-06-01,income,3500.00,Salary,June salary,USD
2026-06-02,expense,1200.00,Housing,Monthly rent,USD
2026-06-03,expense,85.40,Food & Drink,Weekly groceries,USD
2026-06-04,expense,42.50,Food & Drink,Lunch with team,USD
2026-06-05,expense,55.00,Transport,Monthly bus pass,USD
2026-06-06,income,750.00,Freelance,Logo design project,USD
2026-06-08,expense,29.99,Entertainment,Netflix & Spotify,USD
2026-06-09,expense,120.00,Utilities,Electricity bill,USD
2026-06-10,expense,18.00,Food & Drink,Coffee shop,USD
2026-06-11,expense,65.00,Healthcare,Pharmacy,USD
2026-06-12,income,200.00,Gift,Birthday money,USD
2026-06-13,expense,340.00,Shopping,New shoes and clothes,USD
2026-06-14,expense,15.00,Education,Online course subscription,USD
2026-06-15,expense,95.00,Transport,Uber rides this week,USD
2026-06-16,expense,22.80,Food & Drink,Dinner out,USD
2026-06-17,income,500.00,Investment,Dividend payment,USD
2026-06-18,expense,48.00,Healthcare,Gym membership,USD
2026-06-19,expense,11.99,Entertainment,Cinema ticket,USD
2026-06-20,expense,78.00,Food & Drink,Restaurant dinner,USD
