date,time,type,amount,category,description,currency
2026-06-01,09:00:00,income,4200.00,Salary,June salary,USD
2026-06-01,09:05:00,income,600.00,Bonus,Q2 performance bonus,USD
2026-06-02,10:30:00,income,350.00,Rental Income,Parking bay monthly rent,USD
2026-06-03,14:00:00,income,800.00,Freelance,Website redesign project,USD
2026-06-04,09:15:00,income,120.00,Investment Returns,ETF dividend payout,USD
2026-06-05,11:00:00,income,50.00,Family & Gifts,Birthday gift from parents,USD
2026-06-06,08:00:00,income,200.00,Government & Benefits,Council tax rebate,USD
2026-06-07,16:30:00,income,900.00,Business Income,Monthly retainer fee,USD
2026-06-08,12:00:00,income,75.00,Other Income,Sold old laptop,USD
2026-06-02,08:00:00,expense,1200.00,Housing,Monthly rent,USD
2026-06-03,12:45:00,expense,92.30,Food & Drink,Weekly groceries,USD
2026-06-04,13:15:00,expense,38.50,Food & Drink,Lunch with colleagues,USD
2026-06-05,07:50:00,expense,55.00,Transport,Monthly bus pass,USD
2026-06-06,19:30:00,expense,29.99,Entertainment,Streaming subscriptions,USD
2026-06-07,10:00:00,expense,115.00,Utilities,Electricity and gas bill,USD
2026-06-08,14:30:00,expense,65.00,Healthcare,GP prescription and pharmacy,USD
2026-06-09,17:00:00,expense,240.00,Shopping,Clothing and home items,USD
2026-06-10,09:00:00,expense,15.00,Education,Online course subscription,USD
2026-06-11,18:45:00,expense,88.00,Transport,Ride-share and fuel,USD
2026-06-12,20:00:00,expense,55.00,Travel,Weekend train tickets,USD
2026-06-13,08:30:00,expense,48.00,Healthcare,Gym membership,USD
2026-06-14,21:00:00,expense,14.99,Entertainment,Cinema tickets,USD
